#+++++++++++++++++++++++++++++
# 拓展的 la13
# 数据顺序：加工序号 加工时间 能源需求...... 截止时间
#+++++++++++++++++++++++++++++
20 5
3	60	600	0	87	870	1	72	720	4	95	950	2	66	660	1400
1	54	540	0	48	480	2	39	390	3	35	350	4	5	50	1400
3	20	200	1	46	460	0	97	970	2	21	210	4	55	550	1400
2	37	370	0	59	590	3	19	190	1	34	340	4	46	460	1400
2	73	730	3	25	250	1	24	240	0	28	280	4	23	230	1400
1	78	780	3	28	280	2	83	830	0	45	450	4	5	50	1400
3	71	710	1	37	370	2	12	120	4	29	290	0	53	530	1400
4	12	120	3	33	330	1	55	550	2	87	870	0	38	380	1400
0	48	480	1	40	400	2	49	490	3	83	830	4	7	70	1400
0	90	900	4	27	270	2	65	650	3	17	170	1	23	230	1400
0	62	620	3	85	850	1	66	660	2	84	840	4	19	190	1400
3	59	590	2	46	460	4	13	130	1	64	640	0	25	250	1400
2	53	530	1	73	730	3	80	800	4	88	880	0	41	410	1400
2	57	570	4	47	470	0	14	140	1	67	670	3	74	740	1400
2	41	410	4	64	640	3	84	840	1	78	780	0	84	840	1400
4	52	520	3	28	280	2	26	260	0	63	630	1	46	460	1400
1	11	110	0	64	640	3	10	100	4	73	730	2	17	170	1400
4	38	380	3	95	950	0	85	850	1	97	970	2	67	670	1400
3	93	930	1	65	650	2	95	950	0	59	590	4	46	460	1400
0	60	600	1	85	850	2	43	430	4	85	850	3	32	320	1400
