#+++++++++++++++++++++++++++++
# 拓展的 la15
# 数据顺序：加工序号 加工时间 能源需求...... 截止时间
#+++++++++++++++++++++++++++++
20 5
0	6	60	2	40	400	1	81	810	3	37	370	4	19	190	1400
2	40	400	3	32	320	0	55	550	4	81	810	1	9	90	1400
1	46	460	4	65	650	2	70	700	3	55	550	0	77	770	1400
2	21	210	4	65	650	0	64	640	3	25	250	1	15	150	1400
2	85	850	0	40	400	1	44	440	3	24	240	4	37	370	1400
0	89	890	4	29	290	1	83	830	3	31	310	2	84	840	1400
4	59	590	3	38	380	1	80	800	2	30	300	0	8	80	1400
0	80	800	2	56	560	1	77	770	4	41	410	3	97	970	1400
4	56	560	0	91	910	3	50	500	2	71	710	1	17	170	1400
1	40	400	0	88	880	4	59	590	2	7	70	3	80	800	1400
0	45	450	1	29	290	2	8	80	4	77	770	3	58	580	1400
2	36	360	0	54	540	3	96	960	1	9	90	4	10	100	1400
0	28	280	2	73	730	1	98	980	3	92	920	4	87	870	1400
0	70	700	3	86	860	2	27	270	1	99	990	4	96	960	1400
1	95	950	0	59	590	4	56	560	3	85	850	2	41	410	1400
1	81	810	2	92	920	4	32	320	0	52	520	3	39	390	1400
1	7	70	4	22	220	2	12	120	0	88	880	3	60	600	1400
3	45	450	0	93	930	2	69	690	4	49	490	1	27	270	1400
0	21	210	1	84	840	2	61	610	3	68	680	4	26	260	1400
1	82	820	2	33	330	4	71	710	0	99	990	3	44	440	1400
