#+++++++++++++++++++++++++++++
# 拓展的 la14
# 数据顺序：加工序号 加工时间 能源需求...... 截止时间
#+++++++++++++++++++++++++++++
20 5
3	5	50	4	58	580	2	44	440	0	9	90	1	58	580	1500
1	89	890	4	96	960	0	97	970	2	84	840	3	77	770	1500
2	81	810	3	85	850	1	87	870	4	39	390	0	77	770	1500
0	15	150	3	57	570	4	73	730	1	21	210	2	31	310	1500
2	48	480	4	71	710	3	70	700	0	40	400	1	49	490	1500
0	10	100	4	82	820	3	34	340	2	80	800	1	22	220	1500
2	17	170	0	55	550	1	91	910	4	75	750	3	7	70	1500
3	47	470	2	62	620	1	72	720	4	35	350	0	11	110	1500
1	90	900	2	94	940	4	50	500	0	64	640	3	75	750	1500
3	15	150	2	67	670	0	12	120	4	20	200	1	71	710	1500
4	93	930	2	29	290	0	52	520	1	57	570	3	68	680	1500
3	77	770	1	93	930	0	58	580	2	70	700	4	7	70	1500
1	63	630	3	27	270	0	95	950	4	6	60	2	82	820	1500
4	36	360	0	26	260	3	48	480	2	56	560	1	87	870	1500
2	36	360	1	8	80	4	15	150	3	76	760	0	36	360	1500
4	78	780	1	84	840	3	41	410	0	30	300	2	76	760	1500
1	78	780	0	75	750	4	88	880	3	13	130	2	81	810	1500
0	54	540	4	40	400	2	13	130	1	82	820	3	29	290	1500
1	26	260	4	82	820	0	52	520	3	6	60	2	6	60	1500
3	54	540	1	64	640	0	54	540	2	32	320	4	88	880	1500
